Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Presses Universitaires de France					Paris			["de la science"]["initiation philosophique"]["Le psychologue"][A la pensée][Actualité psychanalytique][Bibliothèque Classique de Philos][Bibliothèque de Philosophie Cont][Bibliothèque de psychanalyse][Bibliothèque de psychanalyse et ][Bibliothèque de psychiatrie][Bibliothèque de sociologie conte][Bibliothèque du Collège internat][Bibliothèque scientifique intern][Bilbliothèque de Philosophie Con][Bilbliothèque de philosophie con][Corpus général des philosophes f][Dito][écriture][Epiméthée][Epîtres][Ethnologies][Formes sémiotiques][Galien][Histoire de la philosophie er ph][Histoire de la psychanalyse][Histoire et philosophie de la bi][L'actualité psychanalytique][L'interrogation philosophique][Le fait psychanalytique][Le fil rouge][Le psychologue][Le texte rêve][Les Grands Textes][Libelles][Libelles][Littératures anciennes][Littératures modernes][Logos][Mathématiques][Mémoires de l'institut des haute][Monographies de la Revue Françai][Mythes et religions][Nous partons pour ...][Nouvelle Encyclopédie Philosophi][Perspectives Critiques][Perspectives Critiques][Perspectives littéraires][Petite bibliothèque de psychanal][Philosophie d'aujourd'hui][Philosophies][Philosophies][Politique d'Aujourd'hui][Pratiques théoriques][Premier Cycle][Psychanalyse à l'université][Psychanalystes d'aujourd'hui][Psychiatrie ouverte][Psychopathologie][Publication annuelle][Quadrige][Que sais-je ?][Que sais-je ?][Questions][Questions][Recherches][Recherches politiques][Revue Française de Psychanalyse][Science, histoire er société][Science, histoire et société][Sciences Modernités Philosophies][Sinaï][Sociologie d'aujourd'hui][Sociologies][Sources][Sup][Sup][Université de Grenoble][Voix nouvelles en psychanalyse]
Editions du Félin					Paris			[incidence][Melting-pot][Philippe Lebaud][Philosophie]
Institut d'Edition Sanofi-Synthélabo					Paris			[Les empêcheurs de penser en rond]
Centre George Pompidou / Prestel					Paris			[Espace international / Philosoph][Le promeneur][Supplémentaires]
Susan F. Rossen					Chicago	USA		[The Art Institute of Chicago]
Musée d'Art Moderne de la ville de Paris					Paris			
Le cherche midi					Paris			[Amor Fati][Documents][La Bibliothèque du Dessinateur][Lot 49][Que deviendrait la mort sans la ]
Editions du Rocher					Monaco			[Alphée][Anatolia][Civilisation & Tradition][L'homme et l'univers][Les Grands Classiques]
Munch / Spadem					Paris			[Réunion des musées nationaux]
Editions Dédale / Maisonneuve et Larose					Paris			["l'Art écrit"]
Galerie Isy Brachot					Paris			
Bookking international					Paris			
Art Press					Paris			
Guy Trédaniel Editeur					Paris			
Scala					Paris			
Maisonneuve & Larose					Paris			[Judaïsme en terre d'Islam][La bibliothèque initiatique][Les littératures populaires de t][Pérénigrations Asiatiques]
Autrement					Paris			[Figures mythiques][Frontières][Hors-Série][Les Guides Autrement][Littératures][Mémoires]
Nathan / Delpire					Paris			
VLB éditeur					Montréal	Québec		
Tate Gallery Publications					London	UK		
Editions de l'Herne					Paris			
Textuel					Paris			
Borderie					Nyons			[Obliques]
associacao psicanalitica de Porto Alegre					Porto Alegre	Brésil		[Revue]
Editorial sudamericana					Buenos Aires			[Narrativas Argentinas]
Ediciones del Orto					Madrid	Espagne		[Biblioteca de mujeres]
Nueva Vision					Buenos Aires	Argentine		[Collecion Claves][Collection Freud-Lacan][Psicologia contemporanea]
Ediciones Akal					Madrid	Espagne		
Editorial Sintesis					Madrid	Espagne		[Estudios lacanianos]
Ediciones Nagelkop					Cordoba	Argentine		[Antologia]
Manrique Zago / Léon Goldstein					Buenos Aires	Argentine		
FMGB. Guggenheim Bilbao Museoa y Steidl Verlag					Bilbao			
Diana					Mexico	Mexique		
Ecole lacanienne de psychanalyse. ELP					Paris			[Cuadernos de Litoral][Me cayo el veinte / Libros]
Emecé					Buenos Aires 	Argentine		[Escritores argentinos][Grandes maestros del suspenso]
El ermitano						Mexique		[Minimalia]
Editorial Porrua, S.A.					Mexico	Mexique		["Sepan Cuantos ..."]
Alfaguara ediciones					Madrid	Espagne		
Losada					Buenos aires	Argentine		[Biblioteca clasica y contemporan][contemporanea][Novelistas de nuestra epoca]
Planeta					Buenos Aires	Argentine		[Espejo de la Argentina][Planeta Colombiana]
Beatriz Viterbo Editora					Rosario	Argentine		[El Escribiente]
Catedra/ Letras hispanicas.					Madrid	Espagne		[Letras hispanicas]
Universidad Autonoma Metroplitana					Mexico	Mexique		[Mascaron][Xochimilco]
Ruben Libros					Cordoba	Argentine		
Debolsillo					Buenos Aires	Argentine		[Contemporanea]
Acantilado					Barcelone	Espagne		
Fundacion Cultural Mapfre Vida					Madrid	Espagne		
Editorial sudamericana/ mondadori								
Alianza Editorial					Madrid	Espagne		[Jorge Luis Borges]
Seix Barral / Biblioteca breve					Buenos Aires	Argentine		
Biblioteca La Nacion					Buenos Aires	Argentine		
Critica					Barcelone 	Espagne		[letras de humanidad]
Editores de la Perra					Rosario	Argentine		[Publicacion de psicoanalisis.]
Centro de Documentacion sobre la mujer					Buenos Aires	Argentine		
Sophia publications					Paris			[Magazine littéraire]
Exils					Paris			[Essais][Essais][Le carnet noir][Litterature]
Plon					Paris			[Agora][Biographies][Carnets][Civilisations et mentalités][Feux croisés][Le livre de poche encyclopédique][Les philosophes contre Jean-Jacq][Mythologiques][Points][Présences][Recherches en sciences humaines][Terre Humaine]
Circé					Belval			
Editions du progrès					Moscou	Russie		[Essais et documents]
