Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Interzona Latinoamericana					Buenos Aires	Argentine		
Furne, Jouvet et Cie					Paris			
Signet Book					New York	USA		
Torres Agüero					Buenos Aires	Argentine		
Editions Joca Seria					Nantes			[Nantes]
Ediciones del Lirio					San Juan Xalpa	Mexique		
Théâtre national populaire								[Petite salle. Salle Gemier][TNP]
Fédérop					Gardonne	France		
Charpentier et Cie					Paris			[]
Alcion Editora					Cordoba	Argentine		
Universidad Autonoma de Puebla, Puebla, Mexique								[Filosofica]
Résonances					?			[Les alluvions séculaires]
Alfred Mame et Fils					Tours			[Collège de Dieppe]
Albatros					Paris			["ça / cinéma"][ça cinéma]
Editions Spirale					Montréal	Québec		
Editions de Fallois/L'Âge d'Homme					Paris 			
Salvy								
Les Editions du Point du Jour								
Safrat								[Romans oubliés]
Nelson								
Mazarine								
Boréal					Québec			
L'Arbalète								
Pomaire								
Universidad Diego Portales					Santiago	Chili		
Amand Girard					Paris			[La glaneuse]
Francisco A. Colombo					Buenos Aires			
Editorial Altamira					Buenos Aires			
Tauchnitz Edition								[British and american authors]
Visor Libros, Madrid								[Palabra de Honor]
Ediciones Monte Carmelo					Mexique	Mexique		
Ides et Calendes								
Editorial Argonauta					Buenos Aires			[Biblioteca de diseno]
Editions d'Aujourd'hui					Paris			[Les introuvables]
Henri Veyrier					Paris			
Nova Aguilar					Rio de Janeiro	Brésil		[Biblioteca Luso-Brasileira]
La Nuée Bleue/J.-C. Lattès					Strasbourg / Paris			[Littératures allemandes]
Famot					Genève	Suisse		
Jacques Bertoin					Paris			
Claire Paulhan					Paris		Littératures autobiographiques	["Pour mémoire"]
Olivier Orban					Paris			
Claudio Garcia					Montevideo	Uruguay		[Libros Uruguayos]
Arca / Calicanto					Andes	Uruguay		
Panther book					Londres	Grande Bretagne		[Panther Crimeband][Panther Modern Fiction]
L'Entreligne								
Vernal / Philippe Lebaud								
Edito-Service					Genève	Suisse		[Les causes célèbres]
Bassac					Bassac (Charente)			[Petite Librairie du XIXe siècle]
Publications Orientalistes de France					Paris			[Arts de l'Inde][Les oeuvres capitales de la litt][Littératures d'Etranges Pays]
Scarabée & Co / A. M. Métailié					Paris / Paris			
Bernard Coutaz					Arles			
EUREDIF					Paris			[Aphrodite classique]
Grand Océan					Saint-Denis de La Réunion			[La Roche écrite]
Les Humanoïdes Associés					Paris			[L'Ange du Bizarre]
Robert Morel					Jas du Revest		Hautes Provence	
Dervy-Livres					Paris		- Chemins initiatiques de la Tradition occidentale	[Chemins initiatiques de la Tradi][Histoire et tradition][Trimégiste]
La Documentation Psychanalytique					Paris			[][Document de travail][Document de travail]
Trans-Europ-Repress								
Librairie Louis Arnette					Paris			[Faculté de médecine de Paris]
Imprimerie du Sud-Ouest					Toulouse			
Université Paris Nord					Bobigny			[Cahier]
La Guilde du Livre					Lausanne			
Samidzatt					Paris			[Samidzatt. Revue Littéraire]
Dalhousie French Studies					Halifax	Canada		[Dalhousies French Studies]
La Règle du Jeu					Paris			[La Règle du Jeu]
Gallimard et Comédie-Française								[Soirées Littéraires]
Verticales					Paris			
Cahiers du cinéma					Paris			
Quill William Morrow					New York	USA		
Solin/Actes Sud								
Wordsworth Classics					Herts	Grande Bretagne		[Complete and unabridged]
The Viking Press					New York	USA		[The Viking Critical Library]
Librairie Stéréotype de Th. Dabo					Paris			
Baudouin					Paris			
Nouvelles Editions Oswald					Paris			
Désordres					Paris		Désordres / Laurence Viallet	
Deyrolle Editeur					Paris			
La Bibliothèque					Paris			
The Obelisk Press					Paris			
Domens					Pézenas			
Ramsay / Denoël								
Le Promeneur								[Le cabinet des lettrés]
La Délirante								
Liana Lévi					Paris			
Farrar, Straus and Giroux					New York	USA		
Les Cent Livres								
Maren Sell & Cie					Paris			
Actes Sud / L'Aire					Arles / Vevey	France / Suisse		
Ada Korn Editora					Buenos Aires	Argentine		
Au Diable Vauvert					Vauvert	France		
Taurus					Buenos Aires	Argentine		
Pehuén					Santiago	Chili		
Marc Aurel Frères					Valence			
Editions Féminines Françaises					Paris			[Les classiques français et étran]
Rageot éditeur					Paris			[Cascade]
Abrapalabra editores					Equateur	Equateur		
Direccion General de Publicaciones					Mexico	Mexique		[Memorias Mexicanas]
Jérôme Martineau					Paris			
Marval					Paris			[Lieux de l'écrit]
Fondo de Cultura Economica Mexicana					Mexico	Mexique		[Lecturas Mexicanas][Popular][Popular][Rio de Luz][Seccion de Obras de Antropologia]
Casa de la Cultura Ecuatoriana					Equateur		Pas de nom de ville mentionnée	[Hoy]
Editions de la Tournelle					Paris			[Les Anonymes]
Editions de Crémille					Genève	Suisse		
Les Solitaires Intempestifs					Besançon			[Traductions du XXIe siècle]
Périple					Paris			
POL / Mazarine								
Editorial Guayacan					San José	Costa Rica		[La imagen irrepresentable]
Bantam Books					New York	USA		
Actes Sud / Cité de la Musique					Arles / Paris			[Musiques du Monde]
Conaculta					Mexico	Mexique		[Practica Mortal]
Claridad					Buenos Aires	Argentine		
Librairie Ombres blanches					Toulouse			
Mermod								
Gallimard / Seuil								
Slatkine					Paris			
Les Cahiers Folle Avoine					Bédée	France		
Frederick Warne & Co					New York	USA		
Pierre Horay					Paris			
Editorial Abril					Buenos Aires	Argentine		[Clasicos Huemul][Clasicos Huemul]
Ediciones del Atlantico					Montevidea	Uruguay		[]
Grupo Editorial Norma					Santafé de Bogota	Colombie		[Cara Cruz]
Michel de L'Ormeraie					Paris			
Paris-Musées					Paris			[Capitale]
Flammarion/P.O.L								
Librairie P. Ollendorff					Paris			[Les grands romans]
Alliance Typographique					Bruxelles	Belgique		
Le bossu Bitor					Paris			
Bibliothèque des Arts					Lausanne	Suisse		
La Pensée Universelle					Paris			
Editorial Fundacion Ross					Argentine		Pas de nom de ville mentionné	
Le Dilettante					Paris			
EDUCA					San José	Costa Rica		[Septimo Dia]
Ivrea					Paris			
Editions de l'Attente					Bordeaux			
Tristam					Auch	France		
Fleuve Noir					Paris			
L'Ecole des Loisirs					Paris			[Neuf]
Secretaria de Educacion Publica					Mexico	Mexique		[Lecturas Mexicanas]
Léon Pichon					Paris			
Papiers					Paris			[Théâtre]
York Press / Longman					Berout / Essex			[York Notes]
La Bougie du Sapeur								
Edgar Malfère					Paris			[Galerie d'histoire littéraire]
Champ Vallon					Seyssel	France		[recueil]
P.A.U.					Barcelone	Espagne		
Club des amis du Livre progressiste					Paris			
Capitulo					Buenos Aires	Argentine		[Biblioteca argentina funadamenta]
Edicion Critica					Argentine			
Pascal Vercken					Paris			[Les carnets de Pascal Vercken]
In press					Paris			[Monde interne]
Civiles iletrados					Montevideo	Uruguay		[Naufragos]
Pablo de Herlagnez					Segovia	Espagne		
Delmas					Paris			
La Manufacture					Lyon			
Rougerie					Montemart	France		
Vuelta					Mexico	Mexique		
André Dimanche					Marseille			[Ryôan-Ji]
Bibliothèque Charpentier					Paris			[Classiques latins]
Pandora Editions					Aix-en-Provence			
Manya					Levallois-Perret			
Le Livre Plastic								
Sylvie Messinger					Paris			
Les éditions du Panthéon					Paris			
Le centurion					Paris			[Les interviews]
Nouvelles Editions Baudinière					Paris			[La Bibliothèque des terribles]
La Petite Ourse					Lausanne	Suisse		
Saumade					Montpellier			
Instituto de Cultura Juan Gil-Albert (Valence)								[Pre-Textos]
Marpon / Flammarion								[Des épopées nationales]
Arcane 17								[Cahier l'Envers du miroir]
Luisa G. Matosko								
Harenberg					Dortmund	Allemange		[Die bibliophilen Taschenbücher]
Le livre de vie					Paris			
Tallandier					Paris			[L'Histoire][Nouveaux aspects de l'Archéologi]
Editions Cujas					Paris			[Histoire et civilisation arabe]
Letouzey & Ané					Paris			[Sociomythologie comparée]
Marcelle Abagi							Compte d'auteur	
Adrien Maisonneuve					Paris			[L'Orient Ancien Illustré][Librairie d'Amérique et d'Orient]
Ediciones de la banda oriental					Montevideo	Uruguay		[Facultad de humanidades y cienci]
Mégard et Cie					Rouen			[Bibliothèque morale de la jeunes]
Children Press					Chicago	USA		
Olivier Perrin Editeur					Paris			
Free Press					New York	USA		
Franc-Tireur					Paris			
Geoffrey Bles					Londres	Grande Bretagne		
Olizane					Genève			[Espaces photographiques]
Smith, Elder & Co					Londres	Grande Bretagne		
Charles Scribner's Sons					New York	USA		
Stock / Laurence Pernoud								[Les femmes au temps de ...]
Douniol / Lecoffre Fils et Cie					Paris / Paris			
McGraw-Hill Book Company					New York	USA		
Dover Publications					New York	USA		
Zagier & Urruty					Buenos Aires	Argentine		
Editions P. F. Merckx					Bruxelles	Belgique		
Institut d'Ethnologie					Paris			[Travaux et Mémoires]
Payot / Nourry					Lausanne / Paris			
Editions de Vecchi					Paris			
Nathan								[L'éducation en France]
promodis								
Lehnert & Landrock succ. Editeur					Le Caire	Egypte		[Orbis Terrae Aegyptiae]
Editions du Quai, Jeanne Laffitte					Marseille			[Créativité et Folie]
Buddhist Publication Society					Kandy	Sri Lanka		[The Wheel Publication]
Fernand Hazan éditeur					Paris			[Abc]
Editions Delroisse / Vilo					Paris			
Ernest Leroux					Paris			[Bibliothèque égyptologique]
Firmin Didot Frères					Paris			[L'Univers]
Rupa & Co					New Delhi	Inde		
Dentu					Paris			[Exposition Universelle de 1867]
Inventaire général					Paris			[Documents et méthodes]
Somogy					Paris			
La Vieille Taupe					Paris			[Le citoyen]
EFAI					Londres	Royaume-Uni	EFAI : éditions francophones d'Amnesty international	
Les Amis des Cahiers Bleus					Troyes			[Les Cahiers Bleus]
Archeologia					Dijon			[Histoire et archéologie]
Les Editions Rosicruciennes					Paris			[Le Monde Inconnu]
Editions Critique et Raison					Paris			
United Bible Societies					London			
Editions Pierron					Sarreguemines	France	Editeur et imprimeur	
Monclem Ediciones / Bonechi					México / Florence			[Edition Française]
Aux quais de Paris G. Kogan					Paris			
Les Presses de Taizé					Taizé	France		
EUDEBA S.E.M.					Buenos Aires	Argentine	Fundada por la universidad de Buenos Aires	
Les Editions Provencia					Toulon			[Le livre d'amour de l'Orient]
Verlagsgesellschaft International Publishing GmbH					Munich			
Lustre Press					New Delhi	Inde		
Panorama Editorial					Mexico	Mexique		
Editions C.I.D.					Bruxelles			[Restif de la Bretonne]
Gallimard / UNESCO								[Connaissance de l'Orient][Oeuvres représentatives]
Editions du Chêne								[Dossiers graphiques du Chêne][Les hauts lieux de l'architectur]
La Croix - L'évènement / Festival d'Avignon								
Le Festival International de la Culture Juive					Paris			
Les Deux Océans					Paris		Collections :  - Le trésor spirituel de l'Humanité	[Le trésor spirituel de l'Humanit]
Centre International des CréationsThéatrales					Paris			[Créations Théatrales][Créations Théatrales]
Le Dorian					Paris			
Ecole Freudienne de Paris					Paris			
Tory de Bourges					Paris			
Editorial Diana					Mexico	Mexique		
Harry N. Abrams					New York	USA		[The Israel Museum, Jerusalem]
Editions Beba					Paris			[Théâtre en Europe]
Edition Imago					Paris			
Editions Imago					Paris			
Feltrinelli Editore					Milan	Italie		
ESF editeur					Paris			[Pédagogies]
Louis Deschamps					Paris			
Institut français du Caire					Le Caire	Egypte		
Maisonneuve & Cie					Paris			
Instituto Nacional Antropologia e Historia								[Estudios de Antropologia e Histo]
Gallimard / Julliard					Paris			[Collection archives]
E. J. Brill					Leiden	Hollande		
Amiot / Dumont					Paris			["Toute la ville en parle"]
Mouton					Paris			[Le savoir historique 1][Le savoir historique 1]
Pygmalion					Paris			
Librairie Académique Perrin								[Présence de l'histoire]
J. Galbada & Cie					Paris			[Etudes palestiniennes et orienta]
Publisud					Paris			[Courants universels]
Les Editions Rieder					Paris			
Morel					Apt	France		
Houghton Mifflin Company					Boston / New York	USA		
Chandeigne					Paris			
Robert Laffont / Calmann-Lévy								
Somaiya Publications					Bombay / New Delhi	Inde		
F. Guitel					Paris			
Les Editions Véga					Paris			["L'anneau d'or"]
INAH / Fondo de Cultura Economica					Mexico	Mexique		[][Obras de Antropologia]
Edition de la Fondation Egyptologique Reine Elisabeth					Bruxelles	Belgique		
Société Des Traités Religieux					Paris			[Nouvelle bibliothèque des famill]
Métanoïa					Montélimar			
Institut Français d'Archéologie Orientale					Le Caire			
Pygmalion / Gérard Watelet					Paris / Paris			
Le Cercle d'Or					Les Sables-d'Olonne			[Histoire]
Alfred Eibel					Lausanne	Suisse		[Asie / Asie du Sud-Est]
The Modern Library					New York			
Les Editions de l'"Omnium littéraire"					Paris			[Le livre de la vie dans l'au-del]
Temps Actuels					Paris			[La passion de l'histoire]
Séquences					Rezé	France		
Editions Roger Dacosta					Paris			
Messidor / Temps actuels					Paris			[La passion de l'histoire]
Le Bas					Les Pavillons-Sous-Bois		Père et Fils éditeurs	
La Nuée Bleue					Strasbourg			[Objectif demain]
The Clarendon Press					Oxford	Grande-Bretagne		
Peuples du Monde					Paris			[Domaine Latino-Américain]
Méquignon Junior					Paris			
Hatier Université					Paris			[][Histoire contemporaine][Histoire contemporaine]
Merkos l'Inyonei Chinuch					New York	USA		
Bibliothèque d'Archéologie Orientale d'Athènes B.A.O.A.					Athènes	Grêce		
Fayard & Cie					Paris			
Maison Quantin					Paris			[][Bibliothèque de l'enseignement d]
Editions Laurence Teper					Paris			
Solesmes					Sablé-sur-Sarthe			
Alcide Picard					Paris			
Editions Dagorno					Paris			
Hachette / massin								
Office du Livre					Fribourg	Suisse		[Les chefs-d'oeuvre absolus de la]
Doin								
L. Durand					Fécamp			
La Baconnière / Albin Michel					Neuchatel / Paris			
Martin					?			
Plon / UNESCO					Paris			[Terre Humaine]
Ekdotike Athenon					Athènes	Grêce		[The Greek Museums]
Editions de Saint-Clair					Paris			
Cal y Arena					Mexico	Mexique		
Les Presses d' Aujourd'hui					Paris			[L'arbre double]
François Maspero / La Découverte					Paris			
Sindbad					Paris			[La bibliothèque arabe]
Blackie & son					Bombay	Inde		
Bharatiya Vidya Bhavan					Bombay	Inde		[Bhavan's Book University]
Robert Sailley (Compte d'auteur)					Paris			
Bureaux des missions catholiques					Lyon		- Bibliothèque illustrée des missions catholiques	[Bibliothèque illustrée des missi]
Les Editions de la Chambre au Loup					Paris			
Bibliothèque des Curieux					Paris			[Le coffret du bibliophile]
Les Editions de l'Homme					Montréal	Québec		[Le bon mot]
Ediciones de arte gaglianone					Buenos Aires	Argentine		[Union Carbide]
Le Cercle du Bibliophile					Paris			[Découverte de la science]
Labor et Fides					Genève	Suisse		
Routledge / Kergan Paul					Londres / Henley	Grande Bretagne		
Caelum					Montevideo			
O.E.I.L.					Paris			
Editions de l'Epi					Paris			
Société d'Edition d'Enseignement Supérieur					Paris			[][Regards sur l'histoire]
Helios					Paris			[Condensé du sanskrit pas P. Lal]
Cercle occitan d'Auvergne					Clermont-Ferrand			[Notre Patrimoine][Notre Patrimoine]
Musée des Arts Décoratifs					Paris			
Minima Trotta					Madrid			[Min.]
Manrique Zago					Buenos Aires	Argentine		[Arte en Buenos Aires]
Centre National de  la Photographie					Paris			
Unité d'Art								
Aimery Somogy / Gründ					Paris			[Tendances de la peinture moderne]
Elmayan / Seuil					Paris / Paris			
Draeger								[Le soleil noir]
Musée Rodin					Paris			
Bonechi / Verlag Styria					Florence / Graz	Italie / Autriche		[Edition française]
Centre Culturel du Marais					Paris			
Musée de Lille					Lille			
Grosset & Dunlap					New York	USA		[The New Grosset Art Library]
Fondazione Thyssen Bornemisza / Electa					Milan	Italie		
Georges Fall					Paris			[Bibli Opus]
Centre Georges Pompidou								
Musées Royaux des Beaux-Arts de Belgique					Bruxelles			
Lebeer Hossmann					Bruxelles	Belgique		[Le fil rouge]
Les Editeurs Evidant					Paris			
Editions S.A.E.P					Colmar			[Delta 2000]
Escudo de Oro					Barcelone	Espagne		[Art en Espagne]
Instituto poligrafico dello stato					Rome	Italie		[Itinéraires des musées, galeries]
Ameris Pomaire					Madrid	Espagne		
Editions Franciscaines					Lyon			
L'Indispensable					Paris			
Peeters					Leuven			[Accent]
Edhasa					Buenos Aires	Argentine		[Los libros de Sisifo]
Presses du temps présent						France		
Union centrale des Arts Décoratifs					Paris			
U.F.O.L.E.I.S.					Paris			[La Revue du Cinéma]
Deux Coqs d' Or								[Le petit guide]
Lherminier					Paris			[Cinéma d'aujourd'hui / Dossiers]
Maison des Arts de Creteil					Créteil			
Le Tout sur le Tout					Paris			
Editions de la Connaissance					Bruxelles	Belgique		[Témoins et témoignages]
Fabrizio Serra Editore					Pise / Rome	Italie		
Bruges					Bruges	Belgique		
Rumeur des Ages					La Rochelle			
Editions Planète					Paris			[Encyclopédie Planète]
Cybele					Paris			
Editions Famot					Genève	Suisse		
Claude Offenstadt / Editions Azur					Paris			
Booket					Buenos Aires	Argentine		[Diversos]
Les Temps Modernes					Paris			[Les Temps Modernes]
Guichard Ainé					Avignon			
Umbr(a)					Buffalo, New York	USA		
Musée de l'Homme					Paris			[Ojets et Mondes]
Avant-Scène					Paris			[Opéra]
Châtelet					Paris			[Théâtre musical de Paris]
Roullet					Paris			
Ministère de l'Education nationale et de la Culture								
Editions de la Pierre					Paris			
Cahiers de Critique					Paris			[Cahiers de Critique]
Association pour le Rayonnement de l'Opéra de Paris					Paris			
Publications de l'Opéra de Paris Bastille					Paris			[Bastille]
Publications de l'Opéra national de Paris					Paris			[Opéra Bastille][Opéra Garnier]
Sand					Paris			
Gérard Billaudot Editeur					Paris			[Opéra de Paris]
Opéra Comique / Concert Spirituel					Paris			
Opéra du Rhin					Strasbourg			[Programmes de l'Opéra du Rhin]
Omnibus Press					Londres	UK		
Y.C.R.A					Paris			[Opéra international]
Statni opera Praha					Prague			
Estates Theatre					Prague			[The National Theatre Opera in Pr]
Wiener Staatsoper					Vienne			
Editions du Layeur								[Notre histoire]
Frequenz					Milan			[Le Grandi Opere Liriche]
Opéra de Paris					Paris			[Salle Favart]
Metropolitan Opera Guild					New York	USA		[Season Book]
Fondation musicale France-USA					Paris			
La société des artistes lyriques								
Sony music entertainment					New York	USA		[Columbia Legacy]
EMI records					Londres	UK		
Verlag der Festspielleitung Bayreuth								[The Bayreuth Centenary Productio]
J. Hetzel et Cie					Paris			
Publications Willy Fischer					Paris			
IBM de México								[Arte del Templo Mayor]
Ciné-Critiques / Films					Paris			
CID					Paris			[L'Homme]
Centre d'Editions Psychiatriques					Paris			[Bibliothèque neuro-psychiatrique][Bibliothèque neuro-psychiatrique]
Privat-Didier					Paris			[L'évolution psychiatrique]
Ediciones Sedimentos					Buenos Aires	Argentine		
Elsevier					Paris			[L'évolution psychiatrique]
L'Arc					Aix-en-Provence			[L'Arc Revue]
Editions Bourrelier					Paris			[Société Alfred Binet]
Schleicher Frères					Paris			[L'année psychologique]
Centre Culturel Français/Lagos/ Fête de la lettre					Paris			
Minerva					Genève-Paris			
Griffith Institute					Oxford			
Ministère de la Communauté Française								
Editions Atlas					Paris			
Fayard / Dessain et Tolra								
Xavier Richer / Hoa Qui					Paris / Paris			
Lucien Mazenod					Paris			[L'art et les grandes civilisatio]
Editions Joël Cuénot					Meudon			[Les sentiers de l'imaginaire]
Groupe régional de psychanalyse					Marseille			[L'impair]
Inter-Livres								[L'Encyclopédie Diderot]
Clio					Mexico			
Brijbasi					New Delhi	Inde		
Editions Princesse					Paris			
Salvat					Barcelone	Espagne		
Institut d'Orient					Paris			
Garcia Valades Editores					México			
Paris audiovisuel					?			[]
Schirn Kunsthalle Frankfurt and The Museum of Fine Arts					Frankfurt / Houston			
Edita					?			
Filipacchi / Artcurial					?/?			
Galeries Orsini / Beno d'Incelli / Antiope					Paris / Toulouse / Sorrento	France / France / Italie		
Gibert Jeune					Paris			[L'artiste et son temps]
Adam Biro					Paris			
Editions des Musées Nationaux								
Editions tête de feuilles					Paris			[Galerie d'Art]
Editions Bellevue					paris			
								
Indigo Books					New York	USA		[Fame]
Mexico, D.F.					Mexico			
Letra Viva/Ediciones Lecol					Buenos Aires	Argentine		
Les musées de la ville de Strasbourg					Strasbourg			
Filipacchi					Paris			[Les yeux fertiles]
Do Bentzinger Editeur					?			
Skira / Flammarion								[Les trésors de l'Asie]
Arnoldo Mondadori Editore					Milan	Italie		
The Solomon R. Guggenheim Museum					New York			
L'Âne					Paris			[L'Âne]
Garance								["Grands Médecians ..., Grands Ho]
Le Violon d'Ingres								
Harlan Lane					Londres	Grande Bretagne		
George Allen & Unwin					Londres	Grande Bretagne		
Vermot								[Guide Vermot]
Naturalia publications					Turriers	France		
Jupilles					Paris			
La gazette médicale					Paris			
Editions du Verseau					Denges	Suisse		
Editions Vilo					Paris			
Gide et Cie					Paris			
Gide et J. Baudry					Paris			
Pygmalion / Gérard Watelet					Paris			
Charpentier					Paris			
INSERM / ORSTOM					Paris / Paris			
Ozaldi et Textes Cardinaux / Bibliothèque Nationale					Paris / Paris			
Bibliothèque Nationale					Paris			
Laboratoires Cortial								
O.C.D.L.					Paris			
Editions Michèle Trinckvel					?			[Les archives des métiers]
P. Longuet					Paris			
								
Editions du Sextant Bleu / Synthélabo					Paris			[Les empêcheurs de penser en ron]
Azoulay					Paris			
Culture, Art, Loisirs					Paris			[Histoire des personnages mystéri]
Berger-Levrault					Paris			
Librairie Thomas-Scheler					Paris			
Presses de la Cité / Top Santé					Paris			[Documents]
Addison-Wesley Publishing Company					Londres	Angleterre		
Yale University Press					Londres	Angleterre		
Liège					Liège			
Croom Helm					?	Grande Bretagne		
Economica					Paris			[Anthropos]
Psychosozial-Verlag					Giessen			[Imago]
Les presses du compagnonnage					Paris			
Editions Espaces 34					Montpellier			[Espace Science]
Editorial Villicana					Mexico			[Psicoanalisis en Extension]
Editions Ulysse					Montréal	Québec		[Guide de voyage Ulysse]
Passagen Verlag					Vienne			
Editions du Losange					Nice			[AnamorphoseS]
Marcus					Paris			[Carnets de route Marcus][Guide poche-voyage][Guides de voyages][Guides Marcus]
Nelles					Munich			[Guide Nelles]
Jika					Paris			[Les Guides Jika]
Lonely Planet					Hawthorn	Australie		[Travel Survival Kit]
Maisonneuve					Paris			
Fodor's Travel Publications					New York	USA		[Fodor's]
Atelier Philippe Gentil					Paris			[Guides Philippe Gentil]
